id,subject_course,department,title,section,credit_hours,capacity,enrolled,seats_available,instructors,block,days,begin_time,end_time,meeting_time
92627,AMST0219,AMST,"Remembering Am Rev, 1776-2026",A,1,18,13,5,Ellery Foutch,We1330,We,1330,1615,We 1330-1615 75SHS 206
92625,AMST0225,AMST,Gothic and Horror,A,1,24,24,0,Michael Newbury,TuTh1415,TuTh,1415,1530,TuTh 1415-1530 AXN 109; Mo 1930-2225 AXT AUD
91804,AMST0253,AMST,Science Fiction,A,1,23,23,0,Michael Newbury,TuTh1115,TuTh,1115,1230,TuTh 1115-1230 MNR 311
92628,AMST0260,AMST,American Disability Studies,A,1,22,12,10,Susan Burch,MoWe1245,MoWe,1245,1400,MoWe 1245-1400 AXN 104
92629,AMST0262,AMST,"Class, Culture, Representation",A,1,25,27,-2,Holly Allen,MoWe1115,MoWe,1115,1230,MoWe 1115-1230 LIB 201
92630,AMST0291,AMST,Portraits of the Lady,A,1,25,18,7,Deborah Evans,TuTh0945,TuTh,0945,1100,TuTh 0945-1100 SDL 130
92631,AMST0307,AMST,Disability Issues/U.S. &amp; World,A,1,22,22,0,Susan Burch,MoWe1415,MoWe,1415,1530,MoWe 1415-1530 AXN 104
90006,AMST0400,AMST,Theory and Method,A,1,16,10,6,Holly Allen,MoWe1415,MoWe,1415,1530,MoWe 1415-1530 AXN 220
90048,AMST0500,AMST,Independent Study,A,1,99,0,99,,Su1900,Su,1900,2029,Su 1900-2029
90050,AMST0500,AMST,Independent Study,B,1,99,0,99,Holly Allen,Su1900,Su,1900,2029,Su 1900-2029
90060,AMST0500,AMST,Independent Study,D,1,99,0,99,Deborah Evans,Su1900,Su,1900,2029,Su 1900-2029
90061,AMST0500,AMST,Independent Study,E,1,99,1,98,Ellery Foutch,Su1900,Su,1900,2029,Su 1900-2029
90062,AMST0500,AMST,Independent Study,F,1,99,0,99,Rachael Joo,Su1900,Su,1900,2029,Su 1900-2029
90063,AMST0500,AMST,Independent Study,G,1,99,0,99,Roberto Lint,Su1900,Su,1900,2029,Su 1900-2029
90064,AMST0500,AMST,Independent Study,H,1,99,0,99,William Nash,Su1900,Su,1900,2029,Su 1900-2029
90065,AMST0500,AMST,Independent Study,I,1,99,0,99,Michael Newbury,Su1900,Su,1900,2029,Su 1900-2029
90066,AMST0500,AMST,Independent Study,K,1,99,0,99,Brett Millier,Su1900,Su,1900,2029,Su 1900-2029
91384,AMST0701,AMST,Senior Work I,A,1,99,0,99,,Su1900,Su,1900,2029,Su 1900-2029
91385,AMST0701,AMST,Senior Work I,B,1,99,0,99,Holly Allen,Su0800,Su,0800,1659,Su 0800-1659
91386,AMST0701,AMST,Senior Work I,C,1,99,0,99,Susan Burch,Su1900,Su,1900,2029,Su 1900-2029
91387,AMST0701,AMST,Senior Work I,D,1,99,1,98,Deborah Evans,Su0800,Su,0800,1659,Su 0800-1659
91389,AMST0701,AMST,Senior Work I,F,1,99,0,99,Rachael Joo,Su0800,Su,0800,1659,Su 0800-1659
91390,AMST0701,AMST,Senior Work I,G,1,99,0,99,Roberto Lint,Su1900,Su,1900,2029,Su 1900-2029
91391,AMST0701,AMST,Senior Work I,H,1,99,0,99,William Nash,Su1900,Su,1900,2029,Su 1900-2029
91392,AMST0701,AMST,Senior Work I,I,1,99,0,99,Michael Newbury,Su0800,Su,0800,1659,Su 0800-1659
91757,AMST0701,AMST,Senior Work I,K,1,99,0,99,Brett Millier,Su1900,Su,1900,2029,Su 1900-2029
91397,ANTH0103,ANTH,Cultural Anthropology,A,1,45,9,36,Kristin Bright,MoWe0945,MoWe,0945,1035,MoWe 0945-1035 HLD 103
91398,ANTH0103,ANTH,Discussion,Y,0,22,8,14,Kristin Bright,Fr0945,Fr,0945,1035,Fr 0945-1035 MNR 317
91399,ANTH0103,ANTH,Discussion,Z,0,23,1,22,Kristin Bright,Fr1115,Fr,1115,1205,Fr 1115-1205 MNR 317
92632,ANTH0107,ANTH,Introduction to Archaeology,A,1,45,41,4,James Fitzsimmons,MoWe0840,MoWe,0840,0930,MoWe 0840-0930 AXN 229
92633,ANTH0107,ANTH,Intro Archaeology Discussion,X,0,15,15,0,James Fitzsimmons,Fr0840,Fr,0840,0930,Fr 0840-0930 MNR 112
92634,ANTH0107,ANTH,Intro Archaeology Discussion,Y,0,15,11,4,James Fitzsimmons,Fr0945,Fr,0945,1035,Fr 0945-1035 MNR 112
92635,ANTH0107,ANTH,Intro Archaeology Discussion,Z,0,15,15,0,James Fitzsimmons,Fr1115,Fr,1115,1205,Fr 1115-1205 MNR 112
92636,ANTH0109,ANTH,"Language, Culture, Society",A,1,32,15,17,Marybeth Nevins,TuTh1115,TuTh,1115,1205,TuTh 1115-1205 75SHS 224
92638,ANTH0109,ANTH,Discussion,Y,0,16,6,10,Marybeth Nevins,Fr0945,Fr,0945,1035,Fr 0945-1035 SDL 202
92639,ANTH0109,ANTH,Discussion,Z,0,16,9,7,Marybeth Nevins,Fr1115,Fr,1115,1205,Fr 1115-1205 SDL 202
91870,ANTH0242,ANTH,Law and Politics,A,1,25,21,4,Fulya Pinar,TuTh1245,TuTh,1245,1400,TuTh 1245-1400 MNR 406
91400,ANTH0302,ANTH,Ethnographic Research,A,1,19,21,-2,Fulya Pinar,TuTh0815,TuTh,0815,0930,TuTh 0815-0930 MNR 217
91401,ANTH0302,ANTH,Ethrographic Research Lab,Z,0,19,21,-2,Fulya Pinar,Fr1310,Fr,1310,1400,Fr 1310-1400 MNR 217
93023,ANTH0421,ANTH,LanguageCultureAmericanistAnth,A,1,16,6,10,Marybeth Nevins,MoWe1115,MoWe,1115,1230,MoWe 1115-1230 SDL 202
91407,ANTH0500,ANTH,Advanced Individual Study,C,1,99,0,99,James Fitzsimmons,Su0800,Su,0800,0850,Su 0800-0850
91410,ANTH0500,ANTH,Advanced Individual Study,F,1,99,0,99,Michael Sheridan,Su0800,Su,0800,0850,Su 0800-0850
91901,ANTH0500,ANTH,Advanced Individual Study,J,1,99,1,98,Fulya Pinar,TBA,,,,TBA
91413,ANTH0700,ANTH,One-Semester Senior Project,C,1,99,0,99,James Fitzsimmons,Su1930,Su,1930,2200,Su 1930-2200
91416,ANTH0700,ANTH,One-Semester Senior Project,F,1,99,0,99,Michael Sheridan,Su1930,Su,1930,2200,Su 1930-2200
