major,subject_course
AMST,AMST0219
AMST,AMST0225
ANTH,ANTH0103
ANTH,ANTH0107
ARBC,ARBC0101
ARBC,ARBC0201
ARDV,ARDV0116
ART,ART0156
ART,ART0159
BIOL,BIOL0140
BIOL,BIOL0145
BIOL,CHEM0102
BLST,BLST0101
BLST,BLST0201
CHEM,CHEM0102
CHEM,MATH0121
CHEM,PHYS0109
CHNS,CHNS0101
CHNS,CHNS0201
CLAS,CLAS0132
CLAS,CLAS0150
CMLT,CMLT0201
CRWR,CRWR0170
CRWR,CRWR0175
CSCI,CSCI0145
CSCI,CSCI0200
CSCI,CSCI0201
CSCI,MATH0200
DANC,DANC0160
DANC,DANC0163
ECON,ECON0150
ECON,ECON0155
ECON,MATH0121
ECSC,ECSC0112
ECSC,MATH0121
ECSC,CHEM0102
EDST,EDST0115
EDST,PSYC0105
ENGL,ENGL0103
ENGL,ENGL0112
ENVS,ENVS0112
ENVS,BIOL0140
ENVS,ECON0150
FMMC,FMMC0101
FMMC,FMMC0102
FREN,FREN0101
FREN,FREN0201
GEOG,GEOG0100
GEOG,STAT0116
GHLT,BIOL0140
GHLT,STAT0116
GREK,GREK0201
GREK,GREK0401
GRMN,GRMN0101
GRMN,GRMN0201
GSFS,GSFS0191
GSFS,GSFS0200
HARC,HARC0100
HARC,HARC0130
HEBM,HEBM0101
HEBM,HEBM0237
HIST,HIST0103
HIST,HIST0105
IGST,IGST0101
IGST,IGST0144
INTD,INTD0103
INTD,INTD0109
IPEC,ECON0150
IPEC,ECON0155
IPEC,PSCI0109
ITAL,ITAL0101
ITAL,ITAL0251
JAPN,JAPN0101
JAPN,JAPN0110
LNGT,LNGT0226
LNGT,LNGT0303
MATH,MATH0121
MATH,MATH0122
MATH,MATH0200
MBBC,BIOL0145
MBBC,CHEM0102
MBBC,MATH0121
MUSC,MUSC0134
MUSC,MUSC0160
NSCI,PSYC0105
NSCI,BIOL0145
NSCI,CHEM0102
PGSE,PGSE0115
PGSE,PGSE0355
PHED,PHED0110
PHED,PHED0125
PHIL,PHIL0156
PHIL,PHIL0170
PHYS,PHYS0109
PHYS,MATH0121
PHYS,MATH0122
PSCI,PSCI0101
PSCI,PSCI0103
PSYC,PSYC0105
PSYC,STAT0116
RELI,RELI0140
RELI,RELI0150
RUSS,RUSS0101
RUSS,RUSS0151
SOCI,SOCI0101
SOCI,STAT0116
SPAN,SPAN0101
SPAN,SPAN0104
STAT,STAT0116
STAT,STAT0201
STAT,MATH0121
THEA,THEA0101
THEA,THEA0102
WRPR,WRPR0101
WRPR,WRPR0302
